               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11175,            0.016135,                   0,          0.00073333,             0.20755,           0.0006169,          0.00013866,            0.099729,            0.012485,                   0,            0.070357,           0.0032937,           0.0032937
                   1,            0.094327,            0.016642,                   0,             0.28256,            0.056604,            0.074926,            0.017043,            0.089174,            0.010825,                   0,            0.040292,           0.0065614,           0.0065614
                   2,            0.088051,            0.015903,                   0,              0.1143,            0.056604,            0.055124,            0.011337,            0.086272,           0.0095637,                   0,             0.01016,           0.0097631,           0.0097631
                   3,            0.077825,            0.015773,                   0,               0.565,             0.29425,             0.36382,             0.15794,            0.071993,           0.0098373,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.068562,               0.016,                   0,             0.68034,             0.32127,             0.42574,               0.149,            0.063426,           0.0097464,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.062049,            0.016789,                   0,             0.62124,             0.41509,             0.45093,              0.1357,            0.056303,            0.009759,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.058742,            0.015348,                   0,             0.63761,             0.43396,             0.51494,             0.16895,            0.056901,           0.0092245,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.054036,            0.014952,                   0,             0.62972,             0.48143,             0.53688,             0.20707,            0.056706,           0.0083705,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.052603,            0.013669,                   0,             0.62442,             0.54717,             0.62496,             0.25036,            0.049841,           0.0081588,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.050701,            0.013113,                   0,              0.7087,             0.55091,             0.65006,             0.29726,            0.044162,           0.0076428,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.04791,            0.011991,                   0,             0.61908,             0.73585,             0.69583,             0.28532,            0.047635,           0.0071776,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046193,            0.010699,                   0,             0.66052,             0.64151,             0.70766,             0.29227,            0.047491,           0.0068331,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.046114,            0.010543,                   0,             0.78706,             0.69739,             0.76495,             0.38084,            0.044345,           0.0063855,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.045764,            0.010218,                   0,             0.76605,             0.69811,             0.78975,              0.3785,            0.042926,           0.0062337,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.043145,             0.01013,                   0,             0.49358,             0.71698,             0.62917,             0.30164,            0.044211,            0.005989,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.040592,           0.0091861,                   0,             0.78975,             0.81132,             0.84031,             0.42378,            0.039196,            0.005909,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.040367,           0.0092773,                   0,             0.78883,             0.83019,             0.88663,             0.44098,            0.038558,           0.0058359,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.040559,           0.0091161,                   0,             0.76401,             0.81132,             0.84345,             0.40826,             0.04244,           0.0056825,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.040066,           0.0088981,                   0,             0.77689,             0.85417,             0.90006,             0.43835,            0.038593,           0.0055427,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.038716,           0.0084437,                   0,             0.70456,             0.67925,              0.7147,             0.28721,            0.044551,           0.0054343,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.039622,           0.0084552,                   0,             0.69545,             0.81132,             0.77579,             0.38843,            0.042239,           0.0053132,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.038596,            0.008297,                   0,             0.67423,             0.83019,             0.75778,             0.37308,            0.043555,           0.0054071,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.038693,           0.0080915,                   0,             0.84111,             0.79245,             0.87641,              0.4313,            0.038108,           0.0052919,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.036419,           0.0082339,                   0,             0.86637,             0.81132,             0.87382,             0.44658,            0.038866,           0.0051787,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.03852,           0.0082071,                   0,             0.84731,             0.83768,             0.88875,              0.4171,            0.039851,           0.0051882,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.036794,           0.0080009,                   0,             0.85947,             0.80783,             0.82569,             0.44481,            0.039841,           0.0050087,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.035684,           0.0077906,                   0,             0.78393,             0.82155,             0.82143,             0.43211,            0.039001,             0.00505,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.032657,           0.0076534,                   0,             0.86831,             0.81132,             0.88788,             0.42806,            0.039003,           0.0052524,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.035839,           0.0076453,                   0,             0.88418,             0.77358,             0.84988,              0.4319,            0.039037,           0.0050881,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.033507,           0.0073285,                   0,             0.74061,             0.86792,             0.81063,             0.36724,            0.041689,           0.0052084,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.034812,           0.0072699,                   0,             0.77968,             0.77358,             0.79853,              0.3775,            0.042588,           0.0050965,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.034547,           0.0076883,                   0,             0.84666,             0.84906,             0.87674,             0.42338,             0.03749,           0.0050921,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.034466,           0.0076621,                   0,             0.75806,             0.86792,             0.79032,              0.4076,            0.038227,           0.0051279,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.032932,           0.0075557,                   0,             0.78317,             0.84906,             0.80266,             0.42589,            0.039879,           0.0051874,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.031599,           0.0074038,                   0,             0.81651,             0.92453,             0.87103,             0.41735,             0.03922,           0.0050523,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.032417,           0.0072444,                   0,             0.76649,             0.86792,             0.81581,             0.39453,            0.040221,           0.0050934,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.03293,           0.0074928,                   0,             0.72215,             0.84906,             0.81619,             0.43173,              0.0406,           0.0051622,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.031109,           0.0066105,                   0,             0.91851,             0.77358,             0.87026,             0.44652,            0.041168,           0.0049875,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.03232,            0.007146,                   0,             0.85314,             0.87696,             0.88773,             0.44203,            0.036991,           0.0049702,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031264,           0.0071449,                   0,             0.88374,             0.79245,              0.8201,             0.44264,            0.036659,           0.0049964,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.031585,           0.0067013,                   0,             0.83148,             0.84906,             0.82792,             0.43111,             0.03716,           0.0050204,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030804,           0.0069619,                   0,             0.80586,             0.81132,             0.78625,             0.42131,            0.037326,           0.0050471,                   0,             0.00604,             0.00604,             0.00604
